SIGN,DATE,TEXT
aries,2014-03-06,"You are psyched to accomplish a lot today, but circumstances could change so much that you must modify your schedule to make it work. Taking success for granted isn't wise since you may have to put in extra effort now to see any real progress. Don't be sidetracked by any shortcuts either, for they will only slow you down in the long run. Instead of putting on an air of bravado, get serious and keep bringing your focus back to the tasks at hand. Self-discipline is an essential key to success."
taurus,2014-03-06,"Your feelings may be tied up in knots as you face an annoying setback today. Even a simple desire grows more complicated if you obsess about someone trying to control you. However, your current worries might just be the result of an overactive imagination. Don't waste time preparing contingencies for scenarios that will never happen. Your best shot at satisfaction comes from concentrating on the present moment and relentlessly working to reach your goals."
gemini,2014-03-06,"There's no need to be discouraged about your overall lack of progress on a creative project now, for things will turn around on their own accord. Although your key planet Mercury is finally regaining speed as it continues to recover from its retrograde phase, you still have a long way to go to make up for recent delays. Don't make major changes to your existing plans until you allow enough time to see how far they can take you. Have patience; everything is going to be alright."
cancer,2014-03-06,"You are eager to begin the process of letting go as the reflective Moon moves into your 12th House of Endings. But your work may not flow as easily as you wish now, and there's no simple way to force yourself through the current creative block. Instead of getting hung up about something on the job that isn't gaining traction, pay attention to the signs and observe the clues around you. Once you decipher the message, you can proceed to the next step of preparing for your future."
leo,2014-03-06,"Your role at work grows complicated today as relationship dynamics turn more social. However, you have personal business that must be attended to now, even if it's not much fun. Once you push through your own resistance, everything seems to become easier, freeing up enough time for you to do something totally unexpected by your peers. Setting your mind on a particular accomplishment is a wise strategy, but things won't necessarily turn out as planned. Let the element of surprise work in your favor."
virgo,2014-03-06,"It's all about establishing healthy patterns today and sticking to them, whether you have something better to do or not. Your place of employment may be a bit overrun with people experiencing powerful emotions -- yet you're not interested in becoming one of them. Be fierce as you monitor your own performance in light of your career objectives. Make a few positive modifications to your daily routine before you try to move further up the ladder of success."
libra,2014-03-06,"Your relationships may be a source of disappointment these days, especially if you're not getting all your needs met. Your romantic urges are strong now as flirty Venus hangs out in your 5th House of Creativity and Romance. You would rather be spending quality time with someone you love than being on your own today. No matter what you do, remember to relax; you really have more time to fulfill your personal goals than you think."
scorpio,2014-03-06,"Your emotional detachment is rather disarming now because this lack of intensity isn't in character for you. You want to take a rational approach to sort out unresolved issues today. You're able to smooth ruffled feathers, but your friends might still be uncomfortable because they can't read your energy through the layers of insulation. Maintaining boundaries may be the best way to protect your vulnerable core. Secrets are useful at times, but don't withdraw any more than is necessary."
sagittarius,2014-03-06,"Be quiet and listen to other people's words today, because there is a lot at stake. The most useful information comes to you from your coworkers while the Moon is still visiting your 6th House of Employment. You won't want to skip a single opportunity for a meaningful conversation because this is a time of such significant changes. Even if you share your own perspective, pay close attention when relevant feedback is offered in return. Being patient enables missing puzzle pieces to fall into place."
capricorn,2014-03-06,"It's often impossible for others to argue with your authority, but this may not be true today. It's especially challenging if you're feeling socially awkward, leaving you to doubt your ability to handle the current circumstances. Rest assured that your personal integrity is ultimately one of your greatest strengths, so don't even think about sacrificing it for the sake of expediency. Remain open to the advice you receive but following your moral compass is still your best bet."
aquarius,2014-03-06,"You might have opportunities to share your feelings in a variety of situations today, but the dynamics could grow more complicated once you actually start talking. However, it's not a very smart idea to stop midstream, even if you don't understand the potential influence of your words in the moment. Fortunately, everything should make a lot more sense within a few days. In the meantime, don't waste energy imagining all the scenarios; the future will unfold soon enough."
pisces,2014-03-06,"Although others may not notice, you have a lot of emotional turmoil just beneath the surface today. Even if those close to you ask revealing questions, you can smoothly evade them with a smile. However, you would be wise to pay close attention because someone might have less than honorable intentions. Keeping a healthy distance is a good idea if you're feeling uncomfortable now. Don't overanalyze; trust your intuition."
aries,2014-03-07,"Setting priorities and focusing on the most important tasks first maximizes your productivity today. However, you may be fighting an uphill battle because the Gemini Moon tempts you to scatter your energy. Nearly every thought you have now inspires you, making it tough to complete anything before running off with another great idea. Thankfully, you can take control of your restlessness by consciously committing to finish whatever you start."
taurus,2014-03-07,"You're excited about sharing a recent spiritual experience or an interesting dream with someone special. However, once you get started, you might say more than you initially intended. Ironically, you could use a lot of words now and still not tell your whole story. Omitting significant pieces of information is one way to avoid the truth. There's nothing wrong with this evasive strategy if you promised to keep a secret for someone; however intentional forgetfulness just to save your own skin will lead to trouble."
gemini,2014-03-07,"You're more responsive to others now that the Moon is back in your sign, but your coworkers may not fully understand your message. Your words are clear enough; however, your moods change so quickly that you might be on to feeling something new before you're finished describing your previous emotion. Fortunately, no one needs to know about every single whim that crosses your mind. Your internal process can unfold on its own as long as you are attentive to those around you."
cancer,2014-03-07,"The words are running through your head so fast today that it's challenging to find a place to jump in and start talking. Your fantasy life is very rich now, yet nearly everything feels too complicated to explain. It's tough enough sharing even a simple idea. You might know what's going on, but still may choose to remain silent. Trust your instincts and wait for just the right moment to tell everyone your thoughts."
leo,2014-03-07,"You seem transparent to your friends now, but there's more happening in your world than meets the eye. You're not going out of your way to hide anything; it's just that your words can't quite describe the nuance of your feelings. It's easier to throw yourself into work than share what's on your mind. Everyone seems to appreciate that you're putting in extra effort today, yet it's the tangible projects that endure over the long run that truly count."
virgo,2014-03-07,"You don't want to reveal your true feelings today because you're worried that others will sense your scattered energy. While the restless Gemini Moon could have you bouncing off the walls, you somehow manage to hide your high anxiety anyhow. You're not likely to accomplish as much as you want now, but you're not quite as unfocused as you think. Keep bringing your attention back to your current obligations, rather than losing yourself in a sea of distractions."
libra,2014-03-07,"Don't avoid confronting the source of your current tension just because it's easy to escape from your mental struggles today. The Moon is visiting your 9th House of Travel now, indicating that distant horizons are the most attractive subjects of your fantasies. Your visions may be rather captivating, but real satisfaction requires you to work things out closer to home. You can be the king of the world in your dreams, yet it's in your best interest to create a more honest relationship with reality."
scorpio,2014-03-07,"Sometimes, complicated issues are best met with simple solutions. Set aside the allure of unconventional emotional entanglements and avoid the intriguing possibilities of interactions that may never happen. Carefully steer clear of all drama now that doesn't directly concern you. Although you're tempted to spin tall tales today, you're wise to keep things as uncomplicated as possible. Discretion is the better part of valor."
sagittarius,2014-03-07,"You're alternately pulled between being quite serious and very silly today since the emotional climate changes on a moment's notice. Both extremes make perfect sense, but only for a while and only one at a time. Keep in mind that your moods are more dependent than ever on those around you. Stay flexible now while openly responding to the current dynamics by sharing what's in your heart."
capricorn,2014-03-07,"Your need to sort through all the information at work today could test everyone's patience. This incoming mountain of data may create a rather delicate situation, especially if someone is waiting on your assessment. It's not that you are any less reliable now; it's just that you could take on more than you can finish. The smartest way to avoid unnecessary conflict is to set boundaries early in the day so you don't make unrealistic assumptions and tempt others to have unreasonable expectations."
aquarius,2014-03-07,"Managing your disappointment might require extra effort today, especially if you're dealing with a variety of obstacles. Fortunately, your hope is buoyant and you know that things will only improve if you keep the faith. Your positive attitude could be enough to transform a difficult situation into an opportunity that ultimately works in your favor. Even if you can't control the outcome, you're still responsible for how you respond."
pisces,2014-03-07,"Your tender heart inspires you to assist those less fortunate, but you may be required to contain your feelings today. Ironically, your current compassion might quickly lead you astray and provide a coworker with easy ammunition to put you in your place. There's nothing wrong with wanting to help others as long as you meet your obligations first. Although it's wise to acknowledge when your timing is off or your actions misguided, don't waste energy apologizing again and again. It's better to just work harder now than it is to harbor unproductive feelings of guilt later on."
aries,2014-03-08,"Slowing down to take it easy sounds like a good idea today, but reality might still have a surprise or two in store for you. Unfortunately, this isn't the best day to get some rest so you may as well embrace the interruptions instead of attempting to avoid the unexpected. Even if you don't produce anything tangible now, an unplanned detour can ultimately turn a boring day into one you will remember for a long time to come."
taurus,2014-03-08,"Someone might expect you to give a lot of yourself without receiving much in return today. Although you may derive personal satisfaction from your service to others, putting out the effort can take its toll on you. It could feel like you're losing ground, as if the currents are actually carrying you backward now, but this is just a temporary illusion. Thankfully, you know something about being patient. Don't even consider giving up; your persistence will bring rewards soon enough."
gemini,2014-03-08,"You may feel frazzled with the emotional Moon in your sign today; you know something that others don't but you can't say anything about it yet. Perhaps you made a promise to keep quiet. Or maybe the current timing isn't quite right. Stick to your previous decision about what should and shouldn't be shared. Don't be overly concerned now because so many things are in the process of change, anyhow. It may take a while before your boundaries are clear and you have a viable plan in place."
cancer,2014-03-08,"You have more data at your fingertips now than anyone realizes, but you don't have to tell everyone everything you know. Luckily, your current breadth of knowledge is probably sufficient to answer most questions today, but you still may be tempted to push your luck and try to uncover even more. Instead of struggling on your own, be brave and ask for help if you need it. And, when someone offers assistance, accept it graciously with a smile."
leo,2014-03-08,"There's really no need to worry about what you must do today, for you are at your best when you're just being spontaneous. Although you can quickly become distracted by your cohorts, forget about trying to entertain everyone else for now. For once, just follow the course of least resistance, and let the magic of the day take you wherever it goes. Embrace the unknown; serendipity is your friend."
virgo,2014-03-08,"Many of your acquaintances are looking to you for guidance during these uncertain times, even if you aren't interested in accepting a leadership role now. It isn't that you lack the skills to be an excellent manager; it's just that you might be tired of always having to tell everyone what to do. For a change of pace, cut yourself some slack and do something special just for you. Encouraging self-sufficiency has its benefits for all involved. You can always check back in to see how others are doing later on."
libra,2014-03-08,"It might seem strange that this weekend isn't even over and you're already dreaming about the next one. On the surface, this type of foresight sounds like a smart idea, but it's rather challenging to totally enjoy what's happening right under your nose when you're thinking about the future. Relax and take time to smell the flowers today. Living in the moment is your fastest route to fun."
scorpio,2014-03-08,"An enjoyable interaction may morph into something special as the flirty Gemini Moon aspects the radiant Sun and chatty Mercury today. But you must be willing to shine and play your part in order to see where the relationship goes. If you don't try to connect with others in a deeper way when you're given the opportunity, then you'll never know where it could lead. A friendly smile might be all you need to get the ball rolling."
sagittarius,2014-03-08,"Concentrating on just one activity at a time today is nearly impossible because you encounter one distraction after another. You might try to convince others that you are being practical now, but your willingness to accept the next invitation -- whatever it is -- proves otherwise. Instead of just jumping at whatever comes along, take time to explore your options with those involved. It's better to know what you're getting into prior to being stuck somewhere you don't want to be. Speak now or forever hold your peace."
capricorn,2014-03-08,"It might be quite reassuring today to honor a family tradition or a personally meaningful ritual from the past. You may decide to take a quick trip to see your kids or visit your parents. No matter what you choose to do, try a new and improved approach to the old and familiar. Instead of falling in a rut, break up the drudgery with something that's a lot more fun. Wandering down Memory Lane can be quite a joyful experience."
aquarius,2014-03-08,"You could be worried that the weekend will come and go before you can finish what's already on your plate. Unfortunately, slipping into denial won't enable you to sidestep what's heading your way. However, it's more useful to concentrate on the present moment instead of focusing your attention on the future. Scaling back your expectations now gives you extra time to relax and count your blessings."
pisces,2014-03-08,"Although you're sure about what you want now, you might get confused if you don't know exactly how to get it. Today's Gemini Moon stimulates your curiosity and makes the day more interesting, but it also complicates your life. You grow even more conflicted because your head is saying one thing while your heart is tugging in an entirely different direction. Ultimately, you are happiest when you let your conscience be your guide and do what feels right."
aries,2014-03-09,"You are highly driven to participate in group activities now, yet it's also essential to allow time for quiet contemplation. However, your patience may run thin today and you might remember why you often prefer to work or play alone. It's difficult to express your frustration to others who don't keep up with your pace. Thankfully, your current inclination for solitude goes beyond convenience, so recharge your batteries while you have the chance."
taurus,2014-03-09,"You may not be sure about sharing your feelings today because you don't want to risk the stability you recently created. But withholding crucial information can leave you vulnerable if you have to focus a portion of your mindshare on monitoring everything you say. Make a conscious effort to discuss your fears or your unexpressed emotions will give you away, anyhow. Ultimately, an honest approach is the safest one for everyone involved."
gemini,2014-03-09,"The hectic pace of the past few days should slow down today, giving you time to integrate recent events. Reconsidering your assumptions enables you to switch positions, if necessary. It's like you are playing defense on a baseball field; when something comes your way, you must be ready to catch it. The faster your reflexes are now the faster you can react, giving you extra time to calculate your next move and execute your plan successfully."
cancer,2014-03-09,"You are feeling rather wobbly about your feelings today because your moods seem to be shifting radically from one moment to the next. You want to pour out your heart to a friend or lover now, and yet minutes later you want to crawl into the safety of your secret cave. Ground yourself the best you can and then let the waves gently wash over you. Don't make any long-lasting decisions until your emotions settle down and your clarity returns."
leo,2014-03-09,"It might seem as if no one really sees who you are, even if you are in plain sight. You don't understand how people can sidestep your point of view as you proudly hold your head high and carry out your assigned task, even while your heart is hurting. A humble disclosure might bring the recognition you seek, even if it makes you feel a bit uncomfortable at first. Oddly enough, others will appreciate your weaknesses as well as your strengths. Shine your light in the dark if you want to get noticed."
virgo,2014-03-09,"You're eager to accept the support of your friends and colleagues today, but moments later you might be pushing them away. Your behavior may seem full of contradictions, but you appreciate the camaraderie, nevertheless. Of course, you can take care of yourself, but nothing is gained by alienating those around you. Soften your stance and let others help you, even if you think you're already doing fine. Celebrating success is more satisfying in the company of those you love."
libra,2014-03-09,"Tricky emotional currents today might require you to relinquish some of the control you wish you could keep. It may come as a shock that you're not responsible for anyone else's feelings but your own. Don't attempt to fix a situation by making someone more comfortable. Instead, shift the energy and focus on improving yourself. Once you change your automatic response to something more positive, others will begin to do the same."
scorpio,2014-03-09,"You are content exploring your emotions in the privacy of your own space today. Your personal security is extremely important to you now and you are happiest wherever you feel safe and sound. Once you are comfortably situated, you can open the floodgates and go anywhere you desire by traveling on the wings of your imagination. Meditating in a sacred place gives you the chance to discover spiritual dimensions you never knew existed before."
sagittarius,2014-03-09,"Cosmic forces might be bending you out of shape today, encouraging your naturally adventurous personality to adopt a more cautious stance. There's no need to succumb to the pressures of social expectations. You can't please anyone else if you haven't acknowledged your own needs first. Give yourself permission to withdraw until you feel ready to work with others. Make the best of the situation and take this time to reconnect with your heart."
capricorn,2014-03-09,"You don't have the time or the patience to babysit a friend or colleague while he or she goes through an emotional meltdown today. Nevertheless, you can still respond in a compassionate manner. Just make sure to establish clear boundaries before you find yourself in over your head. Being aware of your own feelings is healthy, even if their expression doesn't always fit neatly into your schedule."
aquarius,2014-03-09,"You might feel as if a relationship crisis is looming, but don't use your personal life as an excuse if you're falling behind at work. Although you may see both sides of a conflict now, it's not worth the effort trying to justify your position. Nevertheless, running away is not the answer either. Instead, retreat only enough to create some space between you and everyone else to reduce your need to escape any further. Focus on what you can control and forget about the rest."
pisces,2014-03-09,"You're slowly drifting away from the crowd today as you hone in on a creative realization that continues to occupy more of your time. Luckily, you should be able to direct this energy toward playful expression, whether for work or your own personal amusement. In either case, having a little fun will ultimately make you more productive in the long run. Let loose and follow your heart."
aries,2014-03-10,"It may be time to offset serious work with a bit of socializing today, especially if you have been overly ambitious these past few weeks. However, the theme of the day isn't about escapist fun; it's about creating a dynamic network that empowers you to expand your horizons. Hanging out with colleagues or friends is a great idea if it stimulates your dreams of the future. Spread your wings; just make sure you're in supportive company before you take off."
taurus,2014-03-10,"You have high hopes for the week ahead, but you might be hesitant to share your plans until they are more developed. In the meantime, do whatever is required now to fulfill the promises you recently made. But doing your job well isn't your only goal today; you also want to be acknowledged for your contributions. Placing your personal ambitions on hold for a while may be necessary so you can shine while meeting your current responsibilities."
gemini,2014-03-10,"Although you might be motivated to improve your finances today, there's no simple way to achieve the results you want. Nevertheless, what you do now can have a positive impact on your future earnings. Don't let self-doubt prevent you from working on your plan for prosperity. Instead of aiming for immediate satisfaction, a slower and more methodical approach increases your chances for success."
cancer,2014-03-10,"You have a keen intuitive sense of how to handle your feelings today, even if circumstances are a bit complicated. It's quite possible that your emotional needs are not being fully met now by your current relationships, but you might not have better options at this time. Being appreciative of your blessings doesn't mean you need to accept the status quo. Expressing your desires clearly without worrying about the outcome may be enough to set the wheels of satisfaction into motion."
leo,2014-03-10,"Relationships are a source of delight and frustration these days and your clarity in communication helps to keep things on the positive side of the equation. Although you could make much progress diffusing conflicts today, the underlying problems won't likely be resolved very soon. Even if others don't meet your high standards now, you can still find joy if you accept the love that comes your way. Obviously, you don't need to settle for less than you deserve, but sometimes it helps to remember that everyone's doing the best that they can."
virgo,2014-03-10,"Although you typically come through with whatever is required, attending to the details today might be quite irritating. It may be wise to temporarily set aside your perfectionist tendencies in favor of a more fluid style now. You could receive more help from your friends than you expect, so give yourself permission to delegate some of the tasks on your list. Allowing others to pick up the loose ends works out well for all involved."
libra,2014-03-10,"You're so eager to express a more artistic side of yourself today that you're willing to do it any way possible. Unfortunately, you might try so hard to be Picasso that you end up with a blank canvas. Instead of attempting to push the river of creativity, it's wiser to just let it flow on its own natural course. Don't worry if the process takes more time than you expect; fill in the hours with unrelated activities that also need to be finished. A relaxed approach is more productive in the long run."
scorpio,2014-03-10,"You often prefer flying under the radar. Instead of seeking recognition for your work, you have more freedom if you remain unseen now. But don't waste the independence you have earned; use this time wisely to plan the next phase of your life. There's no need to make any noticeable waves yet. Entertain all possibilities and then narrow down your choices over the next few weeks. The less others know about your upcoming adventures, the better."
sagittarius,2014-03-10,"There's so much going on in your life right now that it's time to pull the plug on some unnecessary distractions. You might wish you could escape from the noise for a few days, but you must continue to meet your responsibilities. However, you also need to stay connected with the emotional support you receive from your friends and family. Ultimately, balancing the personal and the professional sides of your life boosts your confidence and motivates you to reach for the stars."
capricorn,2014-03-10,"Being nurtured by a loved one is good for the soul, although sometimes you're not comfortable with too much dependency. On the other hand, it's tough to come through for someone you love while also taking care of your own needs now. Even if you're currently working on personal issues, it's probably more productive to focus on helping others today. The gratitude you receive could lift your spirits when you need it the most."
aquarius,2014-03-10,"You derive great benefit from the power of positive thinking because you are more sensitive now that the responsive Cancer Moon is activating your emotional receptors. You don't have the luxury of doubting your recent decisions or your current capabilities. Instead, put your efforts toward fine-tuning your plans; get your ducks in order so you're ready to fly when the time is right."
pisces,2014-03-10,"You're not in the mood to explain your behavior now; words would only detract from your profound process. You're quite happy today swimming around in deep waters because you feel safer being far out of sight. Luckily, there are metaphysical treasures waiting to be discovered beneath the surface if you're willing to leave language behind. Losing yourself in the feelings and the images can be a magical experience, especially if you take time to remember your dreams and write them down upon your return."
aries,2014-03-11,"You're ready to let go of an old resentment today because you realize that holding a grudge serves no purpose. You're quite capable of making your coworkers feel at ease, but not if you're pointing your finger in blame at someone else. Your intentions may be altruistic, yet you still might meet a bit of resistance. Give it time; others can't help but soften under the influence of your friendly approach and sincere effort."
taurus,2014-03-11,"You know you have choices to make today, but your goals might not be clear enough to choose a direction. At first your path seems straightforward, but it grows convoluted as you get sidetracked by someone else's feelings. A battle of wills is destructive if you each have your own agenda, but clearing the air can reduce the tension. It's easy to declare your willingness to be flexible now, but you must actually be open to change if you're to jointly decide where you want to go next."
gemini,2014-03-11,"There are still plenty of details to hammer out, but the possibility of resolution continues to grow. Even if you don't have a lot of available options today, you might need to make a decision, nonetheless. Your optimism may be temporarily replaced with annoyance if your responsibilities distract you from having fun. Although life could seem harsh in the moment, don't over-personalize the current situation. Pay attention to what others are telling you and if the feedback makes sense, then take it to heart."
cancer,2014-03-11,"You may have big ideas about what you want to accomplish today, only to realize that you don't have as much energy as you need. Trying to fulfill all your current obligations is stressful because you must work so hard just to keep up with everything. Additionally, your emotions could wear you out now as you grapple with the subtle nuances of your subconscious desires. Setting a sustainable pace right from the start can prevent an unnecessary meltdown. Be kind to everyone, starting with yourself."
leo,2014-03-11,"You might have to postpone a social activity today because of an important deadline. Perhaps you need to cut back on your expectations now, especially if you discover that your goals are unrealistic. However, there's no need to stress about a missed opportunity if you can't make something happen right away. Instead, accept the limitations of your circumstances, do whatever you can, and move on with a clear conscience."
virgo,2014-03-11,"Rethinking your position on an important matter may be necessary today if you encounter resistance to what you say. However, the discord likely comes from within; you could be your own toughest critic now that your key planet Mercury squares off with taskmaster Saturn. Although your ideas are worthwhile, they still might not seem good enough to you. Unfortunately, if you channel enough energy into your fears, something will undoubtedly go wrong. Instead, improve your attitude and concentrate on creating a positive outcome."
libra,2014-03-11,"You might feel bounced around by what others are saying now. It appears as if they aren't thinking about the consequences of their words, yet you could end up feeling their negative effects. This drama may be playing out within the workplace today and it seems as if you're being drawn into a no-win situation. However, there is still good news, since your natural willingness to find where differences of opinions turn into common ground can ultimately set the stage for negotiating lasting solutions."
scorpio,2014-03-11,"Building on your previous achievements makes much more sense now than starting all over to do something completely new. Luckily, your dreams can be a rich source of inspiration upon which you can build a sensible plan. Don't let anyone talk you out of something that you already know, but they haven't yet learned. Trust your instincts over anyone else's advice to steer you in the right direction today."
sagittarius,2014-03-11,"Your emotions are intense today, especially if you choose to keep them to yourself. Although you're still fairly optimistic about your future, insecurities creep back into your thoughts as quicksilver Mercury stressfully squares naysayer Saturn. Keep in mind, you can be realistic in your assessment without having a defeatist attitude. All you need to do is believe in yourself and trust the process. Patience is a virtue, especially now."
capricorn,2014-03-11,"You may be hiding your wounded feelings today, especially if someone rejects your plan without even hearing you out. You might feel as if obstacles are being placed in your path for no apparent reason until it dawns on you that you have been moving your agenda ahead too fast. In order to accomplish your goals, wait and let circumstances catch up to your dreams of the future. If your new ideas are worthwhile, they'll be even better in a few days."
aquarius,2014-03-11,"The pressure to take care of unfulfilled responsibilities has grown stronger in recent days. Unfortunately, you also have to attend to your daily chores, no matter how many exciting ideas you want to pursue today. Reevaluate your workload; perhaps it's time to temporarily cut back on your activities if you are spread too thin. Although you may be judged by your current performance, it's more crucial to be true to yourself now than to live up to the expectations of others."
pisces,2014-03-11,"Although relationships may bring you emotional satisfaction, some of the greatest rewards take longer to manifest. So, whatever you do, don't get discouraged now when it comes to love and creativity, even if progress seems slower than ever. Don't waste energy today complaining about what can't be changed. Instead, work hard to meet your responsibilities so you have sufficient time later on to spend on romantic or artistic pursuits."
aries,2014-03-12,"You're all set to blast ahead today and you might not give it a second thought if you shoot out of the gate quickly enough. However, taking pause for even just one moment may be all that's needed to send you into a tailspin of self-doubt. Ironically, this bout of uncertainty could be the best thing that happens. Fortunately, your detour won't last long, and it can open your eyes to alternative courses of action that ultimately prove to be smarter than your first choice. Don't rush your decision; you have more time than you think."
taurus,2014-03-12,"Demonstrating your affection for your friends is a lovely gesture today, but grandiose acts of generosity might reveal more about your insecurities than you wish. Try not to go overboard in your attempt to get your feelings across. However, you can't worry about how others respond to you now; your analysis could backfire if you attempt to outthink them. Instead, keep it simple and just lead with your heart."
gemini,2014-03-12,Your quick wit is more likely to get you into trouble today than charm anyone or solve an existing problem. You are able to think faster now that your mind can slip in and out of alternate realities without others even noticing. But sloppy logic hijacks your day if you don't take the time to separate your fantasies from the real world. There's nothing wrong with dreaming a little dream as long as you know when to wake up and deal with the truth.
cancer,2014-03-12,"You may be surfing on a wave of adrenaline that carries you outside of your comfort zone today. When you finally realize how far you've traveled, a secondary current of excitement can transport you even farther from your usual place of safety. Fortunately, once you push through your initial fear, you might be surprised at how easy it is to say what's on your mind and take things to the next level. Don't hurry the process; you are laying the groundwork for what's to come over the next couple of months."
leo,2014-03-12,"There's no reason to stifle your roar now because everyone already knows how you are feeling. Although you won't reveal any shocking news today, the intensity of your pent-up anger still might catch others off guard. But their discomfort with your message is not your problem. However, with the Moon back in your expressive sign, it's simply your job to reflect the truth as you perceive it. Just remember that there are many ways to frame the same situation, so don't assume that you have a corner on all the answers."
virgo,2014-03-12,"You have plenty to say today, but you might end up deciding that it's better to wait a few days before sharing your thoughts. Taking time to consider a variety of options makes sense, but it's also wise to observe what happens next before you commit to a specific path. You may be feeling confident right now, but navigating the shifting currents requires a soft touch and the willingness to readjust your course as needed."
libra,2014-03-12,"Your friends and colleagues may be planning something in the next few days that sounds like a lot of fun to you. You would love to join them, but previous commitments could complicate your schedule. Nevertheless, what seems like an irresolvable conflict at first might be the catalyst for an overdue discussion and a much-needed change. Don't say no before you try to figure out how to balance work with play."
scorpio,2014-03-12,"It really doesn't matter what you're feeling today; the show must go on regardless. Maybe you have been withholding your thoughts and are finally ready to express them now; however, this may not be the best moment to let down your guard. You have a specific role to play at work and in some ways it is the same as giving a performance. Act like a true professional and demonstrate your competence. Wait to share what's on your mind for a more appropriate time when you have an appreciative audience."
sagittarius,2014-03-12,"Your feelings are irrepressible today and you're ready to shout your truth from the rooftops. Even if you are very sensitive to others now, you still won't be able to withhold your opinions. Although you really don't mean to upset anyone, your direct communication style can seem abrasive. You don't have to alter the content of your message; you just need a bit of finesse in your delivery style."
capricorn,2014-03-12,"You are intrigued by the power of your actions now and may go out of your way to agitate complex emotions that escalate a situation into a conflict. However, your strategy won't likely bring you any closer to your goals, and it could even damage a close relationship. Don't toy with someone's feelings just to satisfy your own curiosity. Instead, discussing your plans for the future can set the stage for real progress while also increasing the level of intimacy."
aquarius,2014-03-12,"Someone new may enter your life now that the affectionate Leo Moon is visiting your 7th House of Partnerships. Or, perhaps, an old business or personal relationship might be rekindled. In either situation, it seems as if hidden forces are at work, turning a normal event into something very special. Don't try to make logical sense out of everything that happens today. Just keep your heart open to the possibilities and watch the magic unfold."
pisces,2014-03-12,"Everything keeps looking bigger and better, yet it seems as if the reward is always just around the next bend. However, this time it really is waiting for you, assuming you are diligently working toward your goals. Although it's easy to believe you're fooling yourself, your extra efforts are very likely being noticed by someone who matters. Continue doing the best job possible without vying for any special attention. Remember, what goes around comes around, so don't give up now when the end of the rainbow is so close."
aries,2014-03-13,"Focusing on the present moment is challenging today because you may be so concerned about your future. Ironically, a recollection of something in your past might be more of a problem than whatever actually happens next. Thankfully, this confusing detour down Memory Lane can be a significant learning experience. Trust in the intelligence of now, rather than obsessing on unresolved feelings left over from your sentimental journey."
taurus,2014-03-13,"You may grow so preoccupied with one single idea that it's nearly impossible for anyone to get you to talk about anything else. Nevertheless, following others is a smart move now since they will lead you in a positive direction. Voluntarily minimizing the importance of your own thoughts is a wise tactic today and makes you more accessible to your friends and coworkers. You currently gain more through cooperation than you possibly can on your own."
gemini,2014-03-13,"You're willing to let go of your worries and dream your troubles away today, but you are also concerned about leaving loose ends untied. Unfortunately, your lack of responsibility may be an all-too-familiar theme for you. Nevertheless, this is a great opportunity to learn from your past mistakes. Forget about recreational activities until you wrap up your unfinished business. It's much easier to enjoy yourself once you have done the right thing and demonstrated your dependability."
cancer,2014-03-13,"The power of positive thought gets you off to a great start today, but you must follow up with good old-fashioned hard work. Complete all of your chores so you're able to fully enjoy the pleasures that you so richly deserve. Even if you plan a quiet evening at home, give yourself the time and space to imagine the positive changes that you want to experience in the near future. There aren't many reasons to restrain your creative vision now; if you can visualize it, chances are you can make it happen."
leo,2014-03-13,"You thought that you would be ready to make a major move today, but instead you grow more contemplative as the day wears on. You know that you should be thankful for the stable ground in your life these days, but you also are aware of those obstacles that block your progress. Nevertheless, there's no need to focus on what's wrong; concentrate on all those things that you could be doing to continue your personal growth. Slow and steady change wins out in the long run."
virgo,2014-03-13,"You might try to hide your true intentions today. Even if you're sure about your feelings, you still don't like the idea of others knowing your secrets. However, withholding information could be a serious waste of energy now, especially since your peers probably know more than you realize. Including your inner circle in your plans isn't as much of a risk as it seems. In fact, if you are willing to listen to the feedback offered, you may receive valuable advice from an unexpected source."
libra,2014-03-13,"You're tempted to express yourself in an outrageous manner today, but your common sense ultimately prevents you from going too far. If you feel resistance to your efforts to do your own thing, go ahead and fall back on your charm and grace. Be true to yourself now while also keeping your mind open to different perspectives. Relinquish your control for a little while and go along with others for the sake of group harmony."
scorpio,2014-03-13,"If you keep to yourself today, you may end up wishing you took a more social route. Breaking out of your shell requires extra effort on your part; but once you push past your own resistance, you might truly enjoy the company of others. Luckily, there's no need to hide your emotions or temper your desires now. Trust your instincts to pick just the right moment to share your feelings. Timing is everything when it comes to matters of the heart."
sagittarius,2014-03-13,"If you're buzzing around like a busy bee today, you might be too distracted to fully appreciate the camaraderie of your friends and associates. Nevertheless, there's a solid support system in place, ready to carry you to the next level if only you would let it. Allowing yourself to be vulnerable with those you trust can prove to be the exact catalyst you need. Slow down and smell the flowers right in your own backyard."
capricorn,2014-03-13,"You are taking your responsibilities quite seriously now as the Sun trines your ruling planet, somber Saturn. It may feel as if you're immersed in projects, yet you're also eager to face the new challenges ahead. Nevertheless, you're still committed to finishing the jobs you have already started. Be patient as you build on your accomplishments and wait for the opportunities to reap the rewards. Your work ethic is a shining inspiration to everyone around you."
